pageid,pagetitle,label,revisionid,timestamp,comment,type,editentity,parentid
114,Q17,Japan,622902,2017-01-07T12:47:46Z,b'/* wbsetaliases-remove:1|ja */ \xe6\x9d\x91\xe7\xa5\xad\xe3\x82\x8a',remove,aliase,425400000
114,Q17,Japan,533014,2017-01-08T12:18:17Z,"b'/* wbcreateclaim-create:1| */ [[Property:P3422]]: 99217, #quickstatements'",create,claim,425400050
114,Q17,Japan,533014,2017-01-08T12:21:27Z,b'/* wbsetaliases-add:1|fr */ \xc3\x89tat du Japon',add,aliase,425598831
114,Q17,Japan,101154,2017-01-09T21:26:04Z,b'/* wbsetclaim-create:2||1 */ [[Property:P421]]: [[Q4806309]]',create,claim,425600178
114,Q17,Japan,2123122,2017-01-10T16:58:18Z,b'/* wbsetaliases-add:1|hr */ Zemlja Izlaze\xc4\x87eg Sunca',add,aliase,426072331
114,Q17,Japan,2778515,2017-01-22T12:32:46Z,b'/* wbsetsitelink-set:1|mywiki */ \xe1\x80\x82\xe1\x80\xba\xe1\x80\x95\xe1\x80\x94\xe1\x80\xb9',set,sitelink,426468146
114,Q17,Japan,549765,2017-01-22T15:20:18Z,b'/* wbsetclaim-update:2||1 */ [[Property:P3000]]: 18\xc2\xb10 years old',update,claim,434391899
114,Q17,Japan,549765,2017-01-22T15:20:24Z,b'/* wbsetclaim-create:2||1 */ [[Property:P3000]]: 16 years old',create,claim,434495138
114,Q17,Japan,549765,2017-01-22T15:21:22Z,b'/* wbsetclaim-update:2||1 */ [[Property:P3000]]: 16\xc2\xb10 years old',update,claim,434495177
114,Q17,Japan,1384512,2017-01-22T16:24:46Z,b'/* clientsitelink-remove:1||mywiki */ \xe1\x80\x82\xe1\x80\xba\xe1\x80\x95\xe1\x80\x94\xe1\x80\xb9',remove,sitelink,434495640
114,Q17,Japan,1384512,2017-01-22T16:26:22Z,b'/* wbsetsitelink-add:1|mywiki */ \xe1\x80\x82\xe1\x80\xbb\xe1\x80\x95\xe1\x80\x94\xe1\x80\xba\xe1\x80\x94\xe1\x80\xad\xe1\x80\xaf\xe1\x80\x84\xe1\x80\xba\xe1\x80\x84\xe1\x80\xb6',add,sitelink,434531420
114,Q17,Japan,469872,2017-01-23T18:25:27Z,b'/* wbsetsitelink-add:1|nlwikinews */ Categorie:Japan',add,sitelink,434532291
114,Q17,Japan,4279,2017-01-25T15:31:10Z,"b""/* wbcreateclaim-create:1| */ [[Property:P1617]]: 3f53c272-5b8f-4a4f-99de-a857d6726c5b, #mix'n'match""",create,claim,435255353
114,Q17,Japan,14078,2017-01-27T20:31:57Z,b'/* wbsetclaim-update:2||1 */ [[Property:P3271]]: 15 years old',update,claim,436072285
114,Q17,Japan,14078,2017-01-27T20:32:04Z,b'/* wbsetclaim-update:2||1 */ [[Property:P3270]]: 6 years old',update,claim,437125437
114,Q17,Japan,14078,2017-01-27T20:32:39Z,b'/* wbsetclaim-update:2||1 */ [[Property:P2884]]: 100 volt',update,claim,437125522
114,Q17,Japan,14078,2017-01-27T20:32:52Z,b'/* wbsetclaim-update:2||1 */ [[Property:P2884]]: 100 volt',update,claim,437126014
114,Q17,Japan,14078,2017-01-27T20:33:30Z,"b'/* wbsetclaim-update:2||1 */ [[Property:P1082]]: 127,110,047'",update,claim,437126204
114,Q17,Japan,14078,2017-01-27T20:33:38Z,"b'/* wbsetclaim-update:2||1 */ [[Property:P1082]]: 127,767,994'",update,claim,437126780
114,Q17,Japan,14078,2017-01-27T20:33:47Z,"b'/* wbsetclaim-update:2||1 */ [[Property:P1082]]: 128,057,352'",update,claim,437126892
114,Q17,Japan,14078,2017-01-27T20:34:00Z,b'/* wbsetclaim-update:2||1 */ [[Property:P3000]]: 18 years old',update,claim,437127013
114,Q17,Japan,14078,2017-01-27T20:34:07Z,b'/* wbsetclaim-update:2||1 */ [[Property:P3000]]: 16 years old',update,claim,437127204
114,Q17,Japan,14078,2017-01-27T20:34:15Z,b'/* wbsetclaim-update:2||1 */ [[Property:P2997]]: 20 years old',update,claim,437127319
